state,year,homeless_individual,homeless_family,statename,population,homeless_individual_rate,homeless_family_rate,unemployment_rate,poverty_rate,median_income,fmr_studio,mgr_studio,min_wage
TX,2015,16265,7413,texas,27470056,0.06,0.03,4.4,14.7,56470,495,740,7.25
TX,2016,15959,7163,texas,27914410,0.06,0.03,4.6,13.8,58150,541,779,7.25
TX,2017,16708,6840,texas,28295273,0.06,0.02,4.3,13.2,59300,577,788,7.25
TX,2018,19199,6111,texas,28628666,0.07,0.02,3.9,13.7,59790,585,845,7.25
TX,2019,19611,6237,texas,28995881,0.07,0.02,3.5,11.1,67440,601,900,7.25
UT,2015,1809,1216,utah,2981835,0.06,0.04,3.6,9.3,66260,514,580,7.25
UT,2016,1828,979,utah,3041868,0.06,0.03,3.4,8.6,67480,512,734,7.25
UT,2017,1882,970,utah,3101042,0.06,0.03,3.3,8.7,71320,520,684,7.25
UT,2018,1904,972,utah,3153550,0.06,0.03,3.1,6.9,77070,550,789,7.25
UT,2019,1921,877,utah,3205958,0.06,0.03,2.5,7.3,84520,553,835,7.25
VA,2015,4190,2811,virginia,8361808,0.05,0.03,4.5,10.9,61490,687,1001,7.25
VA,2016,3959,2309,virginia,8410106,0.05,0.03,4.1,11.4,66450,712,1081,7.25
VA,2017,4028,2039,virginia,8463587,0.05,0.02,3.7,10.5,71290,732,1087,7.25
VA,2018,3928,2047,virginia,8501286,0.05,0.02,3,9.8,77150,752,1112,7.25
VA,2019,3666,2117,virginia,8535519,0.04,0.02,2.8,8.8,81310,740,1264,7.25
VT,2015,910,613,vermont,625216,0.15,0.1,3.6,10.7,59490,691,640,9.15
VT,2016,655,462,vermont,623657,0.11,0.07,3.2,9.6,60840,706,745,9.6
VT,2017,697,528,vermont,624344,0.11,0.08,3,8.6,63810,752,683,10
VT,2018,780,511,vermont,624358,0.12,0.08,2.7,9.7,70070,763,706,10.5
VT,2019,681,408,vermont,623989,0.11,0.07,2.1,8.6,74310,749,794,10.96
WA,2015,12526,6893,washington,7163657,0.17,0.1,5.6,11.4,67240,534,872,9.47
WA,2016,13900,6927,washington,7294771,0.19,0.09,5.3,11,70310,592,944,9.47
WA,2017,14781,6331,washington,7423362,0.2,0.09,4.7,10.9,75420,610,1066,11
WA,2018,16424,5880,washington,7523869,0.22,0.08,4.5,8.6,79730,641,1134,11.5
WA,2019,15985,5592,washington,7614893,0.21,0.07,4.2,7,82450,689,1171,13.5
WI,2015,2992,3065,wisconsin,5760940,0.05,0.05,4.6,11.4,55430,464,607,7.25
WI,2016,2886,2799,wisconsin,5772628,0.05,0.05,4,10.7,59820,492,607,7.25
WI,2017,2645,2382,wisconsin,5790186,0.05,0.04,3.3,9.2,63450,506,646,7.25
WI,2018,2740,2167,wisconsin,5807406,0.05,0.04,3,8.6,62630,520,647,7.25
WI,2019,2545,1993,wisconsin,5822434,0.04,0.03,3.2,8.4,67360,533,727,7.25
WV,2015,1414,421,west virginia,1842050,0.08,0.02,6.7,14.5,42820,490,754,8
WV,2016,1039,348,west virginia,1831023,0.06,0.02,6.1,18,44350,469,595,8.75
WV,2017,1032,277,west virginia,1817004,0.06,0.02,5.2,17.1,45390,545,434,8.75
WV,2018,1021,222,west virginia,1804291,0.06,0.01,5.3,15.9,50570,528,667,8.75
WV,2019,1149,248,west virginia,1792147,0.06,0.01,5,13.9,53710,530,539,8.75
WY,2015,500,298,wyoming,585613,0.09,0.05,4.3,9.8,60930,538,607,5.15
WY,2016,517,340,wyoming,584215,0.09,0.06,5.3,10.9,57830,537,631,5.15
WY,2017,622,251,wyoming,578931,0.11,0.04,4.2,13,57840,531,598,5.15
WY,2018,434,205,wyoming,577601,0.08,0.04,4.1,9.5,62540,578,725,5.15
WY,2019,437,111,wyoming,578759,0.08,0.02,3.7,9.2,65130,592,411,5.15
