"State","year","rent_type","value"
"Nebraska","2016","MGR - 1 BDRM",635
"Nebraska","2016","MGR - 2 BDRM",773
"Nebraska","2017","MGR - Total",801
"Nebraska","2017","MGR - Studio",548
"Nebraska","2017","MGR - 1 BDRM",657
"Nebraska","2017","MGR - 2 BDRM",812
"Nebraska","2018","MGR - Total",830
"Nebraska","2018","MGR - Studio",734
"Nebraska","2018","MGR - 1 BDRM",703
"Nebraska","2018","MGR - 2 BDRM",847
"Nebraska","2019","MGR - Total",859
"Nebraska","2019","MGR - Studio",727
"Nebraska","2019","MGR - 1 BDRM",737
"Nebraska","2019","MGR - 2 BDRM",850
"Nevada","2015","MGR - Total",980
"Nevada","2015","MGR - Studio",622
"Nevada","2015","MGR - 1 BDRM",740
"Nevada","2015","MGR - 2 BDRM",922
"Nevada","2016","MGR - Total",1003
"Nevada","2016","MGR - Studio",618
"Nevada","2016","MGR - 1 BDRM",757
"Nevada","2016","MGR - 2 BDRM",928
"Nevada","2017","MGR - Total",1051
"Nevada","2017","MGR - Studio",716
"Nevada","2017","MGR - 1 BDRM",832
"Nevada","2017","MGR - 2 BDRM",978
"Nevada","2018","MGR - Total",1108
"Nevada","2018","MGR - Studio",763
"Nevada","2018","MGR - 1 BDRM",885
"Nevada","2018","MGR - 2 BDRM",1049
"Nevada","2019","MGR - Total",1168
"Nevada","2019","MGR - Studio",796
"Nevada","2019","MGR - 1 BDRM",937
"Nevada","2019","MGR - 2 BDRM",1107
"New Hampshire","2015","MGR - Total",1017
"New Hampshire","2015","MGR - Studio",718
"New Hampshire","2015","MGR - 1 BDRM",801
"New Hampshire","2015","MGR - 2 BDRM",1105
"New Hampshire","2016","MGR - Total",1026
"New Hampshire","2016","MGR - Studio",740
"New Hampshire","2016","MGR - 1 BDRM",842
"New Hampshire","2016","MGR - 2 BDRM",1094
"New Hampshire","2017","MGR - Total",1072
"New Hampshire","2017","MGR - Studio",695
"New Hampshire","2017","MGR - 1 BDRM",849
"New Hampshire","2017","MGR - 2 BDRM",1147
"New Hampshire","2018","MGR - Total",1090
"New Hampshire","2018","MGR - Studio",765
"New Hampshire","2018","MGR - 1 BDRM",854
"New Hampshire","2018","MGR - 2 BDRM",1189
"New Hampshire","2019","MGR - Total",1147
"New Hampshire","2019","MGR - Studio",756
"New Hampshire","2019","MGR - 1 BDRM",900
"New Hampshire","2019","MGR - 2 BDRM",1273
"New Jersey","2015","MGR - Total",1214
"New Jersey","2015","MGR - Studio",855
"New Jersey","2015","MGR - 1 BDRM",1024
"New Jersey","2015","MGR - 2 BDRM",1287
"New Jersey","2016","MGR - Total",1244
"New Jersey","2016","MGR - Studio",874
"New Jersey","2016","MGR - 1 BDRM",1057
"New Jersey","2016","MGR - 2 BDRM",1318
"New Jersey","2017","MGR - Total",1284
"New Jersey","2017","MGR - Studio",953
"New Jersey","2017","MGR - 1 BDRM",1092
"New Jersey","2017","MGR - 2 BDRM",1346
"New Jersey","2018","MGR - Total",1336
"New Jersey","2018","MGR - Studio",979
"New Jersey","2018","MGR - 1 BDRM",1136
"New Jersey","2018","MGR - 2 BDRM",1418
"New Jersey","2019","MGR - Total",1376
"New Jersey","2019","MGR - Studio",1059
"New Jersey","2019","MGR - 1 BDRM",1181
"New Jersey","2019","MGR - 2 BDRM",1443
"New Mexico","2015","MGR - Total",783
"New Mexico","2015","MGR - Studio",548
"New Mexico","2015","MGR - 1 BDRM",627
"New Mexico","2015","MGR - 2 BDRM",745
"New Mexico","2016","MGR - Total",804
"New Mexico","2016","MGR - Studio",565
"New Mexico","2016","MGR - 1 BDRM",643
"New Mexico","2016","MGR - 2 BDRM",782
"New Mexico","2017","MGR - Total",813
"New Mexico","2017","MGR - Studio",565
"New Mexico","2017","MGR - 1 BDRM",658
"New Mexico","2017","MGR - 2 BDRM",780
"New Mexico","2018","MGR - Total",830
"New Mexico","2018","MGR - Studio",598
"New Mexico","2018","MGR - 1 BDRM",647
"New Mexico","2018","MGR - 2 BDRM",806
"New Mexico","2019","MGR - Total",847
"New Mexico","2019","MGR - Studio",575
"New Mexico","2019","MGR - 1 BDRM",683
"New Mexico","2019","MGR - 2 BDRM",819
"New York","2015","MGR - Total",1173
"New York","2015","MGR - Studio",1091
"New York","2015","MGR - 1 BDRM",1122
"New York","2015","MGR - 2 BDRM",1180
"New York","2016","MGR - Total",1194
"New York","2016","MGR - Studio",1115
"New York","2016","MGR - 1 BDRM",1148
"New York","2016","MGR - 2 BDRM",1196
"New York","2017","MGR - Total",1226
"New York","2017","MGR - Studio",1158
"New York","2017","MGR - 1 BDRM",1177
"New York","2017","MGR - 2 BDRM",1223
